1,125112, Tempo,677686,,,
1,125192, Tempo,679333,,,
1,126286, Tempo,678509,,,
1,126302, Tempo,679333,,,
1,126318, Tempo,680160,,,
1,126382, Tempo,681818,,,
1,126430, Tempo,682911,,,
1,126462, Tempo,683747,,,
1,126478, Tempo,685424,,,
1,126526, Tempo,687110,,,
1,126542, Tempo,687957,,,
1,126558, Tempo,688805,,,
1,126590, Tempo,689913,,,
1,126654, Tempo,691623,,,
1,126718, Tempo,693341,,,
1,126766, Tempo,695068,,,
1,126782, Tempo,696803,,,
1,126798, Tempo,697931,,,
1,126830, Tempo,699683,,,
1,126862, Tempo,700561,,,
1,126878, Tempo,701442,,,
1,126910, Tempo,703212,,,
1,126942, Tempo,704990,,,
1,126958, Tempo,705882,,,
1,126990, Tempo,707932,,,
1,127038, Tempo,710642,,,
1,127054, Tempo,711549,,,
1,127054, End_track,,,,
2,0, Start_track,,,,
2,0, Instrument_t,melody (harmonica)  ,,,
2,0, Channel_prefix,0,,,
2,0, Control_c,0,7,80,
2,0, Control_c,0,10,56,
2,0, Program_c,0,22,,
2,0, Control_c,0,0,0,
2,12, Program_c,0,22,,
2,48, Control_c,0,1,0,
2,12096, Note_on_c,0,69,72,
2,12180, Note_off_c,0,69,0,
2,12192, Note_on_c,0,71,72,
2,12276, Note_off_c,0,71,0,
2,12288, Note_on_c,0,72,72,
2,12468, Note_off_c,0,72,0,
2,12480, Note_on_c,0,71,72,
2,12516, Note_off_c,0,71,0,
2,12528, Note_on_c,0,69,72,
2,12612, Note_off_c,0,69,0,
2,12624, Note_on_c,0,71,72,
2,12756, Note_off_c,0,71,0,
2,12960, Note_on_c,0,69,72,
2,12996, Note_off_c,0,69,0,
2,13008, Note_on_c,0,71,72,
2,13044, Note_off_c,0,71,0,
2,13056, Note_on_c,0,72,72,
2,13092, Note_off_c,0,72,0,
2,13104, Note_on_c,0,74,72,
2,13332, Note_off_c,0,74,0,
2,13344, Note_on_c,0,72,72,
2,13428, Note_off_c,0,72,0,
2,13440, Note_on_c,0,71,72,
2,13488, Note_off_c,0,71,0,
2,13488, Note_on_c,0,69,72,
2,13620, Note_off_c,0,69,0,
2,13632, Note_on_c,0,72,72,
2,13716, Note_off_c,0,72,0,
2,13728, Note_on_c,0,74,72,
2,13812, Note_off_c,0,74,0,
2,13824, Note_on_c,0,76,72,
2,13956, Note_off_c,0,76,0,
2,13968, Note_on_c,0,74,72,
2,14100, Note_off_c,0,74,0,
2,14112, Note_on_c,0,72,72,
2,14196, Note_off_c,0,72,0,
2,14208, Note_on_c,0,71,72,
2,14292, Note_off_c,0,71,0,
2,14304, Note_on_c,0,69,72,
2,14484, Note_off_c,0,69,0,
2,14544, Note_on_c,0,67,72,
2,14580, Note_off_c,0,67,0,
2,14592, Note_on_c,0,67,72,
2,14676, Note_off_c,0,67,0,
2,14688, Note_on_c,0,69,72,
2,14964, Note_off_c,0,69,0,
2,15168, Note_on_c,0,69,72,
2,15252, Note_off_c,0,69,0,
2,15264, Note_on_c,0,71,72,
2,15348, Note_off_c,0,71,0,
2,15360, Note_on_c,0,72,72,
2,15540, Note_off_c,0,72,0,
2,15552, Note_on_c,0,71,72,
2,15636, Note_off_c,0,71,0,
2,15648, Note_on_c,0,69,72,
2,15684, Note_off_c,0,69,0,
2,15696, Note_on_c,0,71,72,
2,15828, Note_off_c,0,71,0,
2,16032, Note_on_c,0,69,72,
2,16068, Note_off_c,0,69,0,
2,16080, Note_on_c,0,71,72,
2,16116, Note_off_c,0,71,0,
2,16128, Note_on_c,0,72,72,
2,16260, Note_off_c,0,72,0,
2,16272, Note_on_c,0,74,72,
2,16404, Note_off_c,0,74,0,
2,16416, Note_on_c,0,72,72,
2,16500, Note_off_c,0,72,0,
2,16512, Note_on_c,0,71,72,
2,16560, Note_off_c,0,71,0,
2,16560, Note_on_c,0,69,72,
2,16692, Note_off_c,0,69,0,
2,16752, Note_on_c,0,72,72,
2,16788, Note_off_c,0,72,0,
2,16800, Note_on_c,0,74,72,
2,16836, Note_off_c,0,74,0,
2,16848, Note_on_c,0,76,72,
2,17028, Note_off_c,0,76,0,
2,17040, Note_on_c,0,74,72,
2,17172, Note_off_c,0,74,0,
2,17184, Note_on_c,0,72,72,
2,17268, Note_off_c,0,72,0,
2,17280, Note_on_c,0,71,72,
2,17460, Note_off_c,0,71,0,
2,17472, Note_on_c,0,69,72,
2,17556, Note_off_c,0,69,0,
2,17568, Note_on_c,0,67,72,
2,17652, Note_off_c,0,67,0,
2,17664, Note_on_c,0,67,72,
2,17760, Note_off_c,0,67,0,
2,17760, Note_on_c,0,69,72,
2,17844, Note_off_c,0,69,0,
2,17856, Note_on_c,0,69,72,
2,18036, Note_off_c,0,69,0,
2,18624, Note_on_c,0,72,72,
2,18708, Note_off_c,0,72,0,
2,18708, Note_on_c,0,76,72,
2,18816, Note_off_c,0,76,0,
2,18816, Note_on_c,0,74,72,
2,19188, Note_off_c,0,74,0,
2,19200, Note_on_c,0,74,72,
2,19440, Note_off_c,0,74,0,
2,19440, Note_on_c,0,72,72,
2,19488, Note_off_c,0,72,0,
2,19488, Note_on_c,0,71,72,
2,19584, Note_off_c,0,71,0,
2,19584, Note_on_c,0,72,72,
2,19680, Note_off_c,0,72,0,
2,19680, Note_on_c,0,69,72,
2,19764, Note_off_c,0,69,0,
2,19776, Note_on_c,0,69,72,
2,19860, Note_off_c,0,69,0,
2,19872, Note_on_c,0,71,72,
2,19956, Note_off_c,0,71,0,
2,19968, Note_on_c,0,72,72,
2,20064, Note_off_c,0,72,0,
2,20064, Note_on_c,0,74,72,
2,20148, Note_off_c,0,74,0,
2,20160, Note_on_c,0,76,72,
2,20244, Note_off_c,0,76,0,
2,20256, Note_on_c,0,74,72,
2,20340, Note_off_c,0,74,0,
2,20352, Note_on_c,0,74,72,
2,20400, Note_off_c,0,74,0,
2,20400, Note_on_c,0,72,72,
2,20532, Note_off_c,0,72,0,
2,20544, Note_on_c,0,71,72,
2,20676, Note_off_c,0,71,0,
2,20688, Note_on_c,0,67,72,
2,20724, Note_off_c,0,67,0,
2,20736, Note_on_c,0,67,72,
2,20820, Note_off_c,0,67,0,
2,20832, Note_on_c,0,69,72,
2,21108, Note_off_c,0,69,0,
2,21312, Note_on_c,0,69,72,
2,21396, Note_off_c,0,69,0,
2,21408, Note_on_c,0,71,72,
2,21492, Note_off_c,0,71,0,
2,21504, Note_on_c,0,72,72,
2,21684, Note_off_c,0,72,0,
2,21696, Note_on_c,0,71,72,
2,21780, Note_off_c,0,71,0,
2,21792, Note_on_c,0,69,72,
2,21828, Note_off_c,0,69,0,
2,21840, Note_on_c,0,71,72,
2,21888, Note_off_c,0,71,0,
2,21888, Note_on_c,0,69,72,
2,22068, Note_off_c,0,69,0,
2,22176, Note_on_c,0,69,72,
2,22212, Note_off_c,0,69,0,
2,22224, Note_on_c,0,71,72,
2,22260, Note_off_c,0,71,0,
2,22272, Note_on_c,0,72,72,
2,22452, Note_off_c,0,72,0,
2,22464, Note_on_c,0,74,72,
2,22500, Note_off_c,0,74,0,
2,22512, Note_on_c,0,72,72,
2,22596, Note_off_c,0,72,0,
2,22608, Note_on_c,0,71,72,
2,22656, Note_off_c,0,71,0,
2,22656, Note_on_c,0,69,72,
2,22836, Note_off_c,0,69,0,
2,22848, Note_on_c,0,72,72,
2,22932, Note_off_c,0,72,0,
2,22944, Note_on_c,0,74,72,
2,23028, Note_off_c,0,74,0,
2,23040, Note_on_c,0,76,72,
2,23172, Note_off_c,0,76,0,
2,23184, Note_on_c,0,74,72,
2,23316, Note_off_c,0,74,0,
2,23328, Note_on_c,0,72,72,
2,23412, Note_off_c,0,72,0,
2,23424, Note_on_c,0,71,72,
2,23556, Note_off_c,0,71,0,
2,23568, Note_on_c,0,69,72,
2,23700, Note_off_c,0,69,0,
2,23712, Note_on_c,0,67,72,
2,23796, Note_off_c,0,67,0,
2,23808, Note_on_c,0,67,72,
2,23892, Note_off_c,0,67,0,
2,23904, Note_on_c,0,69,72,
2,23988, Note_off_c,0,69,0,
2,24000, Note_on_c,0,69,72,
2,24180, Note_off_c,0,69,0,
2,24384, Note_on_c,0,69,72,
2,24468, Note_off_c,0,69,0,
2,24480, Note_on_c,0,71,72,
2,24564, Note_off_c,0,71,0,
2,24576, Note_on_c,0,72,72,
2,24756, Note_off_c,0,72,0,
2,24768, Note_on_c,0,74,72,
2,24852, Note_off_c,0,74,0,
2,24864, Note_on_c,0,72,72,
2,24900, Note_off_c,0,72,0,
2,24912, Note_on_c,0,71,72,
2,24960, Note_off_c,0,71,0,
2,24960, Note_on_c,0,69,72,
2,25140, Note_off_c,0,69,0,
2,25152, Note_on_c,0,69,72,
2,25236, Note_off_c,0,69,0,
2,25248, Note_on_c,0,71,72,
2,25332, Note_off_c,0,71,0,
2,25344, Note_on_c,0,72,72,
2,25476, Note_off_c,0,72,0,
2,25488, Note_on_c,0,74,72,
2,25620, Note_off_c,0,74,0,
2,25632, Note_on_c,0,72,72,
2,25716, Note_off_c,0,72,0,
2,25728, Note_on_c,0,71,72,
2,25776, Note_off_c,0,71,0,
2,25776, Note_on_c,0,69,72,
2,25908, Note_off_c,0,69,0,
2,25920, Note_on_c,0,72,72,
2,26004, Note_off_c,0,72,0,
2,26016, Note_on_c,0,74,72,
2,26100, Note_off_c,0,74,0,
2,26112, Note_on_c,0,76,72,
2,26244, Note_off_c,0,76,0,
2,26256, Note_on_c,0,74,72,
2,26340, Note_off_c,0,74,0,
2,26352, Note_on_c,0,72,72,
2,26484, Note_off_c,0,72,0,
2,26496, Note_on_c,0,71,72,
2,26544, Note_off_c,0,71,0,
2,26544, Note_on_c,0,69,72,
2,26628, Note_off_c,0,69,0,
2,26688, Note_on_c,0,69,72,
2,26772, Note_off_c,0,69,0,
2,26784, Note_on_c,0,67,72,
2,26868, Note_off_c,0,67,0,
2,26880, Note_on_c,0,67,72,
2,26964, Note_off_c,0,67,0,
2,26976, Note_on_c,0,69,72,
2,27060, Note_off_c,0,69,0,
2,27072, Note_on_c,0,69,72,
2,27240, Note_off_c,0,69,0,
2,31488, Note_on_c,0,72,90,
2,31956, Note_off_c,0,72,0,
2,31968, Note_on_c,0,72,90,
2,32004, Note_off_c,0,72,0,
2,32016, Note_on_c,0,71,90,
2,32148, Note_off_c,0,71,0,
2,32160, Note_on_c,0,72,90,
2,32244, Note_off_c,0,72,0,
2,32256, Note_on_c,0,71,90,
2,32340, Note_off_c,0,71,0,
2,32352, Note_on_c,0,69,90,
2,32628, Note_off_c,0,69,0,
2,33792, Note_on_c,0,72,90,
2,34740, Note_off_c,0,72,0,
2,34752, Note_on_c,0,71,90,
2,34836, Note_off_c,0,71,0,
2,34848, Note_on_c,0,72,90,
2,34884, Note_off_c,0,72,0,
2,34896, Note_on_c,0,71,90,
2,34992, Note_off_c,0,71,0,
2,34992, Note_on_c,0,69,90,
2,35040, Note_off_c,0,69,0,
2,35052, Note_on_c,0,69,90,
2,35328, Note_off_c,0,69,0,
2,35328, Note_on_c,0,69,90,
2,35460, Note_off_c,0,69,0,
2,35472, Note_on_c,0,67,90,
2,35508, Note_off_c,0,67,0,
2,35520, Note_on_c,0,69,90,
2,35604, Note_off_c,0,69,0,
2,35616, Note_on_c,0,67,90,
2,35652, Note_off_c,0,67,0,
2,35664, Note_on_c,0,69,90,
2,35748, Note_off_c,0,69,0,
2,35760, Note_on_c,0,67,90,
2,35796, Note_off_c,0,67,0,
2,35808, Note_on_c,0,69,90,
2,36084, Note_off_c,0,69,0,
2,36672, Note_on_c,0,69,90,
2,36756, Note_off_c,0,69,0,
2,36768, Note_on_c,0,71,90,
2,36852, Note_off_c,0,71,0,
2,36864, Note_on_c,0,72,90,
2,37044, Note_off_c,0,72,0,
2,37056, Note_on_c,0,71,90,
2,37092, Note_off_c,0,71,0,
2,37104, Note_on_c,0,69,90,
2,37188, Note_off_c,0,69,0,
2,37200, Note_on_c,0,71,90,
2,37428, Note_off_c,0,71,0,
2,37488, Note_on_c,0,69,90,
2,37524, Note_off_c,0,69,0,
2,37536, Note_on_c,0,71,90,
2,37620, Note_off_c,0,71,0,
2,37632, Note_on_c,0,72,90,
2,37812, Note_off_c,0,72,0,
2,37824, Note_on_c,0,74,90,
2,37908, Note_off_c,0,74,0,
2,37920, Note_on_c,0,72,90,
2,37956, Note_off_c,0,72,0,
2,37968, Note_on_c,0,71,90,
2,38016, Note_off_c,0,71,0,
2,38016, Note_on_c,0,69,90,
2,38196, Note_off_c,0,69,0,
2,38208, Note_on_c,0,72,90,
2,38292, Note_off_c,0,72,0,
2,38304, Note_on_c,0,74,90,
2,38388, Note_off_c,0,74,0,
2,38400, Note_on_c,0,76,90,
2,38580, Note_off_c,0,76,0,
2,38592, Note_on_c,0,74,90,
2,38676, Note_off_c,0,74,0,
2,38688, Note_on_c,0,72,90,
2,38772, Note_off_c,0,72,0,
2,38784, Note_on_c,0,71,90,
2,38868, Note_off_c,0,71,0,
2,38880, Note_on_c,0,69,90,
2,38964, Note_off_c,0,69,0,
2,38976, Note_on_c,0,67,90,
2,39060, Note_off_c,0,67,0,
2,39072, Note_on_c,0,67,90,
2,39252, Note_off_c,0,67,0,
2,39264, Note_on_c,0,69,90,
2,39540, Note_off_c,0,69,0,
2,39744, Note_on_c,0,69,90,
2,39828, Note_off_c,0,69,0,
2,39840, Note_on_c,0,71,90,
2,39924, Note_off_c,0,71,0,
2,39936, Note_on_c,0,72,90,
2,40116, Note_off_c,0,72,0,
2,40128, Note_on_c,0,74,90,
2,40212, Note_off_c,0,74,0,
2,40224, Note_on_c,0,72,90,
2,40308, Note_off_c,0,72,0,
2,40320, Note_on_c,0,71,90,
2,40356, Note_off_c,0,71,0,
2,40368, Note_on_c,0,69,90,
2,40572, Note_off_c,0,69,0,
2,40584, Note_on_c,0,69,90,
2,40632, Note_off_c,0,69,0,
2,40644, Note_on_c,0,71,90,
2,40692, Note_off_c,0,71,0,
2,40704, Note_on_c,0,72,90,
2,40884, Note_off_c,0,72,0,
2,40896, Note_on_c,0,74,90,
2,40980, Note_off_c,0,74,0,
2,40992, Note_on_c,0,72,90,
2,41028, Note_off_c,0,72,0,
2,41040, Note_on_c,0,71,90,
2,41088, Note_off_c,0,71,0,
2,41088, Note_on_c,0,69,90,
2,41268, Note_off_c,0,69,0,
2,41280, Note_on_c,0,72,90,
2,41364, Note_off_c,0,72,0,
2,41376, Note_on_c,0,74,90,
2,41460, Note_off_c,0,74,0,
2,41472, Note_on_c,0,76,90,
2,41652, Note_off_c,0,76,0,
2,41664, Note_on_c,0,74,90,
2,41748, Note_off_c,0,74,0,
2,41760, Note_on_c,0,72,90,
2,41844, Note_off_c,0,72,0,
2,41856, Note_on_c,0,71,90,
2,41940, Note_off_c,0,71,0,
2,41952, Note_on_c,0,69,90,
2,42036, Note_off_c,0,69,0,
2,42048, Note_on_c,0,67,90,
2,42132, Note_off_c,0,67,0,
2,42144, Note_on_c,0,67,90,
2,42324, Note_off_c,0,67,0,
2,42336, Note_on_c,0,69,90,
2,42612, Note_off_c,0,69,0,
2,44544, Note_on_c,0,72,90,
2,45012, Note_off_c,0,72,0,
2,45024, Note_on_c,0,72,90,
2,45060, Note_off_c,0,72,0,
2,45072, Note_on_c,0,71,90,
2,45204, Note_off_c,0,71,0,
2,45216, Note_on_c,0,72,90,
2,45300, Note_off_c,0,72,0,
2,45312, Note_on_c,0,71,90,
2,45396, Note_off_c,0,71,0,
2,45408, Note_on_c,0,69,90,
2,45684, Note_off_c,0,69,0,
2,46848, Note_on_c,0,72,90,
2,47796, Note_off_c,0,72,0,
2,47808, Note_on_c,0,71,90,
2,47892, Note_off_c,0,71,0,
2,47904, Note_on_c,0,72,90,
2,47940, Note_off_c,0,72,0,
2,47952, Note_on_c,0,71,90,
2,48048, Note_off_c,0,71,0,
2,48048, Note_on_c,0,69,90,
2,48096, Note_off_c,0,69,0,
2,48108, Note_on_c,0,69,90,
2,48384, Note_off_c,0,69,0,
2,48384, Note_on_c,0,69,90,
2,48516, Note_off_c,0,69,0,
2,48528, Note_on_c,0,67,90,
2,48564, Note_off_c,0,67,0,
2,48576, Note_on_c,0,69,90,
2,48660, Note_off_c,0,69,0,
2,48672, Note_on_c,0,67,90,
2,48708, Note_off_c,0,67,0,
2,48720, Note_on_c,0,69,90,
2,48804, Note_off_c,0,69,0,
2,48816, Note_on_c,0,67,90,
2,48852, Note_off_c,0,67,0,
2,48864, Note_on_c,0,69,90,
2,49140, Note_off_c,0,69,0,
2,49728, Note_on_c,0,69,90,
2,49812, Note_off_c,0,69,0,
2,49824, Note_on_c,0,71,90,
2,49908, Note_off_c,0,71,0,
2,49920, Note_on_c,0,72,90,
2,50100, Note_off_c,0,72,0,
2,50112, Note_on_c,0,71,90,
2,50148, Note_off_c,0,71,0,
2,50160, Note_on_c,0,69,90,
2,50244, Note_off_c,0,69,0,
2,50256, Note_on_c,0,71,90,
2,50484, Note_off_c,0,71,0,
2,50544, Note_on_c,0,69,90,
2,50580, Note_off_c,0,69,0,
2,50592, Note_on_c,0,71,90,
2,50676, Note_off_c,0,71,0,
2,50688, Note_on_c,0,72,90,
2,50868, Note_off_c,0,72,0,
2,50880, Note_on_c,0,74,90,
2,50964, Note_off_c,0,74,0,
2,50976, Note_on_c,0,72,90,
2,51012, Note_off_c,0,72,0,
2,51024, Note_on_c,0,71,90,
2,51072, Note_off_c,0,71,0,
2,51072, Note_on_c,0,69,90,
2,51252, Note_off_c,0,69,0,
2,51264, Note_on_c,0,72,90,
2,51348, Note_off_c,0,72,0,
2,51360, Note_on_c,0,74,90,
2,51444, Note_off_c,0,74,0,
2,51456, Note_on_c,0,76,90,
2,51636, Note_off_c,0,76,0,
2,51648, Note_on_c,0,74,90,
2,51732, Note_off_c,0,74,0,
2,51744, Note_on_c,0,72,90,
2,51828, Note_off_c,0,72,0,
2,51840, Note_on_c,0,71,90,
2,51924, Note_off_c,0,71,0,
2,51936, Note_on_c,0,69,90,
2,52020, Note_off_c,0,69,0,
2,52032, Note_on_c,0,67,90,
2,52116, Note_off_c,0,67,0,
2,52128, Note_on_c,0,67,90,
2,52308, Note_off_c,0,67,0,
2,52320, Note_on_c,0,69,90,
2,52596, Note_off_c,0,69,0,
2,52800, Note_on_c,0,69,90,
2,52884, Note_off_c,0,69,0,
2,52896, Note_on_c,0,71,90,
2,52980, Note_off_c,0,71,0,
2,52992, Note_on_c,0,72,90,
2,53172, Note_off_c,0,72,0,
2,53184, Note_on_c,0,74,90,
2,53268, Note_off_c,0,74,0,
2,53280, Note_on_c,0,72,90,
2,53364, Note_off_c,0,72,0,
2,53376, Note_on_c,0,71,90,
2,53412, Note_off_c,0,71,0,
2,53424, Note_on_c,0,69,90,
2,53628, Note_off_c,0,69,0,
2,53640, Note_on_c,0,69,90,
2,53688, Note_off_c,0,69,0,
2,53700, Note_on_c,0,71,90,
2,53748, Note_off_c,0,71,0,
2,53760, Note_on_c,0,72,90,
2,53940, Note_off_c,0,72,0,
2,53952, Note_on_c,0,74,90,
2,54036, Note_off_c,0,74,0,
2,54048, Note_on_c,0,72,90,
2,54084, Note_off_c,0,72,0,
2,54096, Note_on_c,0,71,90,
2,54144, Note_off_c,0,71,0,
2,54144, Note_on_c,0,69,90,
2,54324, Note_off_c,0,69,0,
2,54336, Note_on_c,0,72,90,
2,54420, Note_off_c,0,72,0,
2,54432, Note_on_c,0,74,90,
2,54516, Note_off_c,0,74,0,
2,54528, Note_on_c,0,76,90,
2,54708, Note_off_c,0,76,0,
2,54720, Note_on_c,0,74,90,
2,54804, Note_off_c,0,74,0,
2,54816, Note_on_c,0,72,90,
2,54900, Note_off_c,0,72,0,
2,54912, Note_on_c,0,71,90,
2,54996, Note_off_c,0,71,0,
2,55008, Note_on_c,0,69,90,
2,55092, Note_off_c,0,69,0,
2,55104, Note_on_c,0,67,90,
2,55188, Note_off_c,0,67,0,
2,55200, Note_on_c,0,67,90,
2,55380, Note_off_c,0,67,0,
2,55392, Note_on_c,0,69,90,
2,55668, Note_off_c,0,69,0,
2,60672, Note_on_c,0,72,90,
2,60720, Note_off_c,0,72,0,
2,60720, Note_on_c,0,74,90,
2,60768, Note_off_c,0,74,0,
2,60768, Note_on_c,0,72,90,
2,60816, Note_off_c,0,72,0,
2,60816, Note_on_c,0,74,90,
2,60864, Note_off_c,0,74,0,
2,60864, Note_on_c,0,72,90,
2,60912, Note_off_c,0,72,0,
2,60912, Note_on_c,0,74,90,
2,60960, Note_off_c,0,74,0,
2,60960, Note_on_c,0,72,90,
2,61008, Note_off_c,0,72,0,
2,61008, Note_on_c,0,74,90,
2,61056, Note_off_c,0,74,0,
2,61056, Note_on_c,0,72,90,
2,61188, Note_off_c,0,72,0,
2,61200, Note_on_c,0,71,90,
2,61284, Note_off_c,0,71,0,
2,61296, Note_on_c,0,69,90,
2,61428, Note_off_c,0,69,0,
2,63072, Note_on_c,0,76,90,
2,63156, Note_off_c,0,76,0,
2,63168, Note_on_c,0,74,90,
2,63252, Note_off_c,0,74,0,
2,63264, Note_on_c,0,72,90,
2,63348, Note_off_c,0,72,0,
2,63360, Note_on_c,0,74,90,
2,63444, Note_off_c,0,74,0,
2,63456, Note_on_c,0,72,90,
2,63540, Note_off_c,0,72,0,
2,63552, Note_on_c,0,69,90,
2,63636, Note_off_c,0,69,0,
2,63648, Note_on_c,0,67,90,
2,63684, Note_off_c,0,67,0,
2,63696, Note_on_c,0,69,90,
2,63828, Note_off_c,0,69,0,
2,63840, Note_on_c,0,72,90,
2,63972, Note_off_c,0,72,0,
2,63984, Note_on_c,0,69,90,
2,64020, Note_off_c,0,69,0,
2,64032, Note_on_c,0,69,90,
2,64068, Note_off_c,0,69,0,
2,64080, Note_on_c,0,67,90,
2,64116, Note_off_c,0,67,0,
2,64128, Note_on_c,0,69,90,
2,64176, Note_off_c,0,69,0,
2,64176, Note_on_c,0,64,90,
2,64212, Note_off_c,0,64,0,
2,64224, Note_on_c,0,64,90,
2,64308, Note_off_c,0,64,0,
2,64608, Note_on_c,0,72,90,
2,64692, Note_off_c,0,72,0,
2,64704, Note_on_c,0,72,90,
2,64788, Note_off_c,0,72,0,
2,64800, Note_on_c,0,76,90,
2,64884, Note_off_c,0,76,0,
